epoch,train_loss,monitor_loss,monitor_mIoU,lr
1,1.28764,1.13721,0.21595,1.00e-06
2,1.00264,0.86828,0.26970,2.80e-06
3,0.75386,0.64547,0.34020,4.60e-06
4,0.58519,0.52310,0.36995,6.40e-06
5,0.48360,0.43846,0.43475,8.20e-06
6,0.41586,0.38493,0.46135,1.00e-05
7,0.37579,0.35850,0.47611,9.99e-06
8,0.35261,0.34492,0.48164,9.96e-06
9,0.33579,0.33216,0.48971,9.90e-06
10,0.32351,0.32273,0.50045,9.83e-06
11,0.31309,0.31765,0.51296,9.73e-06
12,0.30525,0.31043,0.52402,9.61e-06
13,0.29730,0.28768,0.55806,9.47e-06
14,0.28975,0.31227,0.51304,9.32e-06
15,0.28273,0.28435,0.55987,9.14e-06
16,0.27547,0.27523,0.57056,8.95e-06
17,0.26989,0.28958,0.55223,8.74e-06
18,0.26466,0.26834,0.57662,8.51e-06
19,0.26064,0.27375,0.56992,8.27e-06
20,0.25617,0.27678,0.56893,8.02e-06
21,0.25194,0.28087,0.56275,7.75e-06
19,0.26284,0.28825,0.55597,8.27e-06
20,0.25865,0.28268,0.56276,8.02e-06
21,0.25393,0.28313,0.56657,7.75e-06
22,0.24920,0.28578,0.56282,7.47e-06
23,0.24582,0.26631,0.57764,7.19e-06
24,0.24186,0.25845,0.59295,6.89e-06
25,0.23871,0.25742,0.59473,6.59e-06
26,0.23425,0.26473,0.58562,6.28e-06
27,0.23129,0.25975,0.59377,5.97e-06
28,0.22791,0.26636,0.58588,5.66e-06
29,0.22525,0.26449,0.59104,5.34e-06
30,0.22205,0.25464,0.60425,5.03e-06
31,0.21972,0.24346,0.61286,4.72e-06
32,0.21693,0.27021,0.58526,4.41e-06
33,0.21402,0.24275,0.61470,4.11e-06
34,0.21255,0.24448,0.61302,3.81e-06
35,0.20957,0.24263,0.61512,3.53e-06
36,0.20789,0.24563,0.61126,3.25e-06
37,0.20591,0.24017,0.61682,2.98e-06
38,0.20352,0.23086,0.63341,2.73e-06
39,0.20219,0.22988,0.63110,2.49e-06
40,0.20058,0.22885,0.63337,2.26e-06
41,0.19899,0.23250,0.62799,2.05e-06
42,0.19778,0.23015,0.63234,1.86e-06
43,0.19766,0.23054,0.63415,1.68e-06
44,0.19624,0.22541,0.63804,1.53e-06
45,0.19572,0.22032,0.64513,1.39e-06
46,0.19523,0.22307,0.64307,1.27e-06
47,0.19385,0.22528,0.64010,1.17e-06
48,0.19330,0.22952,0.63502,1.10e-06
49,0.19314,0.22641,0.63721,1.04e-06
50,0.19268,0.22413,0.64127,1.01e-06
51,0.19226,0.22144,0.64431,1.00e-06
52,0.19180,0.22518,0.64036,1.01e-06
53,0.19211,0.22527,0.63955,1.04e-06
54,0.19193,0.22284,0.64337,1.10e-06
55,0.19153,0.22571,0.63897,1.17e-06
56,0.19176,0.22276,0.64143,1.27e-06
57,0.19202,0.23174,0.63400,1.39e-06
58,0.19120,0.22424,0.64328,1.53e-06
59,0.19091,0.22506,0.64247,1.68e-06
60,0.19189,0.22783,0.63842,1.86e-06
46,0.19922,0.22265,0.64193,1.27e-06
47,0.19812,0.23191,0.63245,1.17e-06
48,0.19717,0.22634,0.63841,1.10e-06
49,0.19703,0.22845,0.63642,1.04e-06
50,0.19597,0.22528,0.64078,1.01e-06
46,0.20020,0.23154,0.63105,1.27e-06
47,0.19808,0.22922,0.63620,1.17e-06
48,0.19779,0.23242,0.63020,1.10e-06
46,0.19894,0.23194,0.62923,1.27e-06
47,0.19761,0.23070,0.63410,1.17e-06
48,0.19653,0.23169,0.63193,1.10e-06
49,0.19691,0.23110,0.63203,1.04e-06
50,0.19619,0.23475,0.62909,1.01e-06
51,0.19638,0.22667,0.63786,1.00e-06
52,0.19505,0.22919,0.63531,1.01e-06
53,0.19516,0.22805,0.63561,1.04e-06
54,0.19500,0.22801,0.63720,1.10e-06
55,0.19561,0.22220,0.64236,1.17e-06
56,0.19455,0.22627,0.63792,1.27e-06
57,0.19428,0.23919,0.62430,1.39e-06
58,0.19436,0.24234,0.62111,1.53e-06
59,0.19432,0.24076,0.62320,1.68e-06
60,0.19483,0.23448,0.62929,1.86e-06
61,0.19491,0.23597,0.62992,2.05e-06
62,0.19425,0.23496,0.63116,2.26e-06
46,0.19848,0.23037,0.63406,1.27e-06
47,0.19810,0.23986,0.62413,1.17e-06
48,0.19642,0.23297,0.62938,1.10e-06
49,0.19624,0.23129,0.63282,1.04e-06
50,0.19498,0.22942,0.63554,1.01e-06
51,0.19511,0.22596,0.63845,1.00e-06
52,0.19412,0.22714,0.63734,1.01e-06
53,0.19416,0.22771,0.63755,1.04e-06
54,0.19504,0.22971,0.63418,1.10e-06
55,0.19440,0.22658,0.63787,1.17e-06
56,0.19380,0.23281,0.63062,1.27e-06
57,0.19321,0.22446,0.64183,1.39e-06
