epoch,train_loss,monitor_loss,monitor_mIoU,lr
1,0.64083,0.43681,0.54927,1.00e-05
2,0.34046,0.23898,0.65632,2.80e-05
3,0.25247,0.19129,0.69143,4.60e-05
4,0.22801,0.16129,0.73263,6.40e-05
5,0.21354,0.15240,0.73559,8.20e-05
6,0.20368,0.16113,0.72067,1.00e-04
7,0.19050,0.14893,0.74441,9.99e-05
8,0.17967,0.17041,0.69679,9.95e-05
9,0.17004,0.16845,0.70093,9.89e-05
10,0.16074,0.15077,0.73094,9.81e-05
11,0.15428,0.15744,0.72004,9.70e-05
12,0.14781,0.14730,0.73145,9.57e-05
13,0.14266,0.15305,0.72900,9.42e-05
14,0.13793,0.14382,0.74621,9.25e-05
15,0.13342,0.16418,0.71482,9.05e-05
16,0.12920,0.15449,0.72613,8.84e-05
17,0.12594,0.15867,0.71987,8.61e-05
18,0.12184,0.14423,0.74453,8.36e-05
19,0.11954,0.14716,0.74166,8.10e-05
20,0.11618,0.14212,0.74948,7.82e-05
21,0.11338,0.13731,0.75528,7.53e-05
22,0.11065,0.14533,0.74792,7.22e-05
23,0.10904,0.13969,0.75260,6.90e-05
24,0.10654,0.16069,0.72612,6.58e-05
25,0.10475,0.15936,0.73139,6.25e-05
26,0.10179,0.15413,0.73734,5.91e-05
27,0.10054,0.14515,0.75170,5.57e-05
28,0.09821,0.14842,0.75115,5.22e-05
29,0.09656,0.15866,0.73305,4.88e-05
30,0.09563,0.15349,0.74319,4.53e-05
31,0.09314,0.14803,0.74860,4.19e-05
32,0.09229,0.15789,0.74068,3.85e-05
33,0.09140,0.15261,0.74552,3.52e-05
34,0.08969,0.14660,0.75467,3.20e-05
35,0.08866,0.15204,0.74921,2.88e-05
36,0.08739,0.14424,0.75651,2.58e-05
37,0.08612,0.14474,0.75788,2.28e-05
38,0.08557,0.15275,0.74778,2.00e-05
39,0.08480,0.13951,0.76489,1.74e-05
40,0.08384,0.14912,0.75595,1.49e-05
41,0.08315,0.16180,0.73772,1.26e-05
42,0.08257,0.15295,0.75073,1.05e-05
43,0.08193,0.15102,0.75236,8.52e-06
44,0.08148,0.14296,0.76214,6.79e-06
45,0.08131,0.14586,0.76081,5.28e-06
46,0.08078,0.15197,0.75399,3.99e-06
47,0.08054,0.14913,0.75642,2.92e-06
48,0.08016,0.15104,0.75351,2.08e-06
49,0.08012,0.15056,0.75472,1.48e-06
50,0.08030,0.14973,0.75628,1.12e-06
1,0.64147,0.44037,0.51175,1.00e-05
2,0.34053,0.26718,0.56478,2.80e-05
3,0.25201,0.22552,0.61718,4.60e-05
51,0.08013,0.15115,0.75542,1.00e-06
52,0.08014,0.15344,0.75135,2.80e-06
53,0.08027,0.14929,0.75788,4.60e-06
54,0.08012,0.15658,0.74723,6.40e-06
55,0.08027,0.14930,0.75679,8.20e-06
56,0.10953,0.14915,0.74380,1.00e-04
57,0.10561,0.15972,0.72690,1.00e-04
58,0.10387,0.14800,0.74568,1.00e-04
59,0.10105,0.14876,0.74677,9.99e-05
60,0.10094,0.15018,0.74083,9.99e-05
61,0.10026,0.15046,0.74039,9.98e-05
62,0.09844,0.15619,0.73394,9.98e-05
63,0.09863,0.15994,0.73111,9.97e-05
64,0.09763,0.13826,0.76161,9.96e-05
61,0.10003,0.14921,0.74165,9.98e-05
62,0.15447,0.22760,0.63737,2.80e-04
63,0.18259,0.19146,0.67517,4.59e-04
64,0.19553,0.21376,0.64191,6.39e-04
65,0.20109,0.22046,0.62811,8.19e-04
61,0.09230,0.14234,0.75377,1.00e-05
62,0.08864,0.15821,0.73787,2.80e-05
63,0.08912,0.15489,0.74463,4.60e-05
64,0.09061,0.15546,0.73726,6.40e-05
65,0.09429,0.15153,0.74008,8.20e-05
66,0.09738,0.17326,0.71856,1.00e-04
67,0.09772,0.16845,0.72357,1.00e-04
1,0.64103,0.43627,0.54011,1.00e-05
2,0.34069,0.25136,0.61299,2.80e-05
3,0.25232,0.20692,0.65919,4.60e-05
4,0.22820,0.18141,0.70793,6.40e-05
5,0.21432,0.17492,0.69620,8.20e-05
6,0.20363,0.15854,0.72774,1.00e-04
7,0.19025,0.16906,0.70796,9.99e-05
8,0.18021,0.15032,0.73804,9.95e-05
9,0.16927,0.14884,0.73577,9.89e-05
10,0.16120,0.14177,0.74885,9.81e-05
11,0.15457,0.13458,0.75865,9.70e-05
